CDSSYS,CDS_SUPP_QUOTES,,EN
ID,SUPPLIER_NAME,SUPPLIER_CONTACT,PART_NO,ENQUIRY_QTY_1,ENQUIRY_QTY_2,ENQUIRY_QTY_3,ENQUIRY_QTY_4,DATE_RAISED,PART_DESC,CURRENT_PART_ISSUE,PUR_QTY_1,PUR_COST_1,PUR_LT_1,PUR_QTY_2,PUR_COST_2,PUR_LT_2,PUR_QTY_3,PUR_COST_3,PUR_LT_3,PUR_QTY_4,PUR_COST_4,PUR_LT_4,PUR_FAI_COST,PUR_FAI_LT,PUR_TOOL_COST,PUR_TOOL_LT,ECR_LT,SC_LT,COMMENTS
5470,SUMMIT ENGINEERING,,77881554,1,5,10,0,2015-09-16,VALVE PLATE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7731,GRAVES AIRCRAFT COMPONENTS LTD,,85200487,1,30,60,300,2015-09-08,DRIVE SHAFT              ,O  ,1,1599.83,46,30,330.32,56,60,320.65,56,100,316.78,64,0,0,0,0,0,0,
7732,AE AEROSPACE LTD,M PERRIN,85200487,1,30,60,300,2015-09-08,DRIVE SHAFT              ,O  ,,,,,,,,,,,,,0,0,0,0,0,0,Auto closure based on approval of supplier RFQ ref 7731
7733,AMPHENOL LTD,,77031567,1,5,10,50,2015-09-08,CONNECTOR ASSY           ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7734,AMPHENOL LTD                  ,,86621816,1,5,10,50,2015-09-08,CON HTK1718-31SE06 1206  ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7735,HARTLEY,,77120399A,1,5,10,50,2015-09-09,CONTROL PISTON ROD O/S   ,7,5,1462,26,10,836.75,26,50,417.61,26,0,0,0,150,0,0,0,0,6,MOQ=5
7736,TRELLEBOR SEALING SOLUTIONS   ,,17110-237Z,1,5,10,50,2015-09-09,BONDED SEAL              ,14,5,209.52,20,10,86.49,20,50,22.01,20,0,0,0,0,0,0,0,0,0,5=moq
7737,TRELLEBOR SEALING SOLUTIONS   ,,17110-237Z,1,5,10,50,2015-09-09,BONDED SEAL              ,14,5,209.52,20,10,86.49,20,50,22.01,20,0,0,0,0,0,0,0,0,0,5=moq
7738,TRELLEBOR SEALING SOLUTIONS   ,,0216-2836,1,25,50,250,2015-09-09,SEALING RING             ,1,5,60,14,25,12,14,50,6.32,14,250,4.87,14,0,0,0,0,26,6,"ECR REQD - : DTD 5612A Gr80, QUOTED  DRG CALLS OUT DTD5612."
7739,TRELLEBOR SEALING SOLUTIONS   ,,STD1053-4002,1,100,200,1000,2015-09-09,WEDGE SEAL               ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7740,PORVAIR FILTRATION GRP        ,,77871287,1,0,0,5,2015-09-09,FILTER                   ,3,5,230.24,20,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,5=moq
7742,G & O SPRINGS LIMITED         ,,77156688,40,0,0,0,2015-09-09,SPRING                   ,1,40,36.12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7743,G & O SPRINGS LIMITED         ,,77156694,40,0,0,0,2015-09-09,SPRING                   ,1,40,32.31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7744,HALLITE SEALS INT'L LTD       ,,77856087,1,4,0,20,2015-09-09,TRANSPORTATION SEAL      ,1,1,100,12,4,25,12,0,0,0,20,5,12,0,0,0,0,0,0,
7745,ARROWSMITH ENGI. LTD          ,,1541-1149,1,500,1000,5000,2015-09-09,SCREW M/C HEX HEAD       ,3,500,36.28,30,1000,29.37,22,5000,27.68,22,0,0,0,300,0,0,0,0,0,500 moq
7746,PATTONAIR INTERN'L LTD        ,,86637194,1,5,10,0,2015-09-09,PACKING PIECE            ,   ,1,11.93,4,5,11.93,4,10,11.93,4,0,0,0,0,0,0,0,0,0,
7747,FERRANTI TECHNOLOGIES LTD     ,,86637101,1,5,10,0,2015-09-09,FPGA Daughterboard (T04) ,   ,1,195,12,5,195,12,10,195,12,0,0,0,0,0,0,0,0,0,
7748,AE AEROSPACE,,1783-3006,1,5,10,0,2015-09-10,COVER & INSERTS ASSY     ,   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"There was a US only applicable Mod DPG9600 applied to the 1913-2000 Fuel Distribution Valve which had the following effect
Post-Mod =   1913-3003 Casting =   1913C4002
UTAS TO RFQ 1913-3003"
7749,MIDLAND PRECISION EQUIPMENT CO,,77691969,1,10,50,250,2015-09-11,DASHPOT PISTON           ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7750,AE AEROSPACE LTD,M PERRIN,77069578,40,0,0,0,2015-09-11,PISTON SLEEVE            ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7751,AE AEROSPACE LTD,M PERRIN,77069583,40,0,0,0,2015-09-11,SLEEVE  PISTON           ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7752,AE AEROSPACE LTD,M PERRIN,77069589,40,0,0,0,2015-09-11,PISTON                   ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7753,AE AEROSPACE LTD,M PERRIN,77069588,40,0,0,0,2015-09-11,PISTON                   ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7754,AE AEROSPACE LTD,M PERRIN,77069587,40,0,0,0,2015-09-11,PISTON                   ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7755,AE AEROSPACE LTD,M PERRIN,77069586,40,0,0,0,2015-09-11,PISTON                   ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7756,AE AEROSPACE LTD,M PERRIN,77069585,40,0,0,0,2015-09-11,PISTON                   ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7757,AE AEROSPACE LTD,M PERRIN,77069585,40,0,0,0,2015-09-11,PISTON                   ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7758,AE AEROSPACE LTD,M PERRIN,77069584,40,0,0,0,2015-09-11,PISTON                   ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
