CDSSYS,CDS_BILL,,EN
RECD_CODE,PRNT_PART_NBR,COMP_PART_NBR,QTY_PER
BM,AED003836-1/A,AED003836-1,1
BM,A126D77/A,A126D77,1
BM,BCP1905-1/A,BCP1905-1,1
BM,CI0046-01T/A,CI0046-01T,1
BM,CI0046-01T/B,CI0046-01T,1
BM,CI0046-03T/A,CI0046-03T,1
BM,CI0046-03T/B,CI0046-03T,1
BM,CI0046-07T/A,CI0046-07T,1
BM,CQ0093-1/A,CQ0093-1,1
BM,CQ0099-1/A,CQ0099-1,1
BM,CT9E(B)150MF/1.10,CT9E(B)150MF,1
BM,CX06F336M/0.20A,CX06F336M,1
BM,CX06M685M/0.20A,CX06M685M,1
BM,GTSA1540/A,GTSA1540,1
BM,GTSA1540/B,GTSA1540,1
BM,GTSA1563-1/A,GTSA1563-1,1
BM,GTSA1571/A,GTSA1571,1
BM,GTSA1571/B,GTSA1571,1
BM,GTSA2280A1002F/A,GTSA2280A1002F,1
BM,GTSA2280A1002F/B,GTSA2280A1002F,1
BM,GTSA2280A1002F/C,GTSA2280A1002F,1
BM,GTSA2280A1002F/D,GTSA2280A1002F,1
BM,GTSA2280A1002F/E,GTSA2280A1002F,1
BM,GTSA2280A1002F/F,GTSA2280A1002F,1
BM,GTSA2280A1002F/G,GTSA2280A1002F,1
BM,GTSA2280A1002F/H,GTSA2280A1002F,1
BM,GTSA2280A1002F/I,GTSA2280A1002F,1
BM,GTSA2280A1002F/J,GTSA2280A1002F,1
BM,GTSA2280A1002F/K,GTSA2280A1002F,1
BM,GTSA2280A1002F/L,GTSA2280A1002F,1
BM,GTSA2280A1002F/M,GTSA2280A1002F,1
BM,GTSA2280A1002F/N,GTSA2280A1002F,1
BM,GTSA2280A1002F/O,GTSA2280A1002F,1
BM,GTSA2280A1002F/P,GTSA2280A1002F,1
BM,GTSA2280A1002F/Q,GTSA2280A1002F,1
BM,GTSA2280B3302J/A,GTSA2280B3302J,1
BM,GTSA2280B3302J/B,GTSA2280B3302J,1
BM,GTS1328-152K/A,GTS1328-152K,1
BM,GTS1328-153K/A,GTS1328-153K,1
BM,GTS1328-153K/0.09A,GTS1328-153K,1
BM,GTS1328-271K/0.09,GTS1328-271K,1
BM,GTS1328-471K/0.09,GTS1328-471K,1
BM,GTS1414-070/A,GTS1414-070,1
BM,GTS1414-175/A,GTS1414-175,1
BM,GTS1414-538/A,GTS1414-538,1
BM,GTS1419-1/A,GTS1419-1,1
BM,GTS1419-1/B,GTS1419-1,1
BM,GTS1419-1/C,GTS1419-1,1
BM,GTS1420/A,GTS1420,1
BM,GTS1420/B,GTS1420,1
BM,GTS1421/A,GTS1421,1
BM,GTS1427-1/A,GTS1427-1,1
BM,GTS1427-1/B,GTS1427-1,1
BM,GTS1427-1A/A,GTS1427-1A,1
BM,GTS1427-10A/A,GTS1427-10A,1
BM,GTS1427-11A/A,GTS1427-11A,1
BM,GTS1427-11A/B,GTS1427-11A,1
BM,GTS1427-13/A,GTS1427-13,1
BM,GTS1427-13/B,GTS1427-13,1
BM,GTS1427-17/A,GTS1427-17,1
BM,GTS1427-17/B,GTS1427-17,1
BM,GTS1427-17/C,GTS1427-17,1
BM,GTS1427-17/D,GTS1427-17,1
BM,GTS1427-22/A,GTS1427-22,1
BM,GTS1427-22/B,GTS1427-22,1
BM,GTS1427-22/C,GTS1427-22,1
BM,GTS1427-7/A,GTS1427-7,1
BM,GTS1427-9/A,GTS1427-9,1
BM,86628776,GTS2218-1M0B/0.50,2
BM,GTS1427-9A/B,GTS1427-9A,1
BM,GTS1427-9A/C,GTS1427-9A,1
BM,GTS1427-9A/D,GTS1427-9A,1
BM,GTS1430/A,GTS1430,1
BM,GTS1430/B,GTS1430,1
BM,GTS1430/C,GTS1430,1
BM,GTS1430/D,GTS1430,1
BM,GTS1430/E,GTS1430,1
BM,GTS1430/F,GTS1430,1
BM,GTS1438/A,GTS1438,1
BM,GTS1444/A,GTS1444,1
BM,GTS1444/B,GTS1444,1
BM,GTS1444/C,GTS1444,1
BM,GTS1444/D,GTS1444,1
BM,GTS1444/E,GTS1444,1
BM,GTS1444/F,GTS1444,1
BM,GTS1444/G,GTS1444,1
BM,GTS1444/H,GTS1444,1
BM,GTS1444/I,GTS1444,1
BM,GTS1444/J,GTS1444,1
BM,GTS1446-14/A,GTS1446-14,1
BM,GTS1446-42/A,GTS1446-42,1
BM,GTS1446-53/A,GTS1446-53,1
BM,GTS1446-58/A,GTS1446-58,1
