CDSSYS,CDS_CUST,,EN
CUST_ID,CUST_NAME,CURRENCY_CD
LAEAU11,GOODRICH GCS SYDNEY,USD
LAEFR15,GOODRICH - VERNON/BUC,GBP
LAEGB11,CONTROLS AND DATA SERVICES,GBP
LAEGB15,GOODRICH GAS WOLVERHAMPTON,GBP
LAEGB16,SAFRAN POWER SYSTEMS,GBP
LAEGB20,GOODRICH GEC MARSTON GREEN,GBP
LAEGB21,Goodrich Con Sys - Shirley,GBP
LAEGB29,CONTROLS AND DATA SERVICES,GBP
LAEUS15,SAFRAN POWER USA LLC.,USD
LAEUS23,GOODRICH CORPORATION,USD
4AAC001,AIR ATLANTA,GBP
4AAC002,AIR ATLANTA ICELANDIC,GBP
4ACH002,AERMACCHI S.P.A.,GBP
4AFR001,AIR FRANCE INDUSTRIES,GBP
4AHR001,AIR HOLLAND B.V,GBP
4AIH001,MY TRAVEL AIRWAYS,GBP
4AIR001,AIRINMAR,GBP
4ALE001,ROLLS ROYCE CORPORATION,USD
4ALK002,SRI LANKAN AIRLINES,GBP
4AMJ001,AMECO BEIJING,GBP
4AMM003,AIR 2000 LIMITED,GBP
4AMT001,AMERICAN TRANS AIR,GBP
4ANQ001,AIR MARSHALL ISLANDS INC,GBP
4ANZ002,AIR NEW ZEALAND,GBP
4AOZ001,ALENIA,GBP
4AQE001,AIR EUROPE,GBP
4AQL001,ALENIA TECHO. DEL VOLO,GBP
4AQQ001,ALLIED CALIBRATION LTD,GBP
4AQX001,ALLIED AEROSYSTEMS LTD,GBP
4AQZ001,AEA TECHNOLOGY PLC,GBP
4BAE010,BAE SYSTEMS (OPERATIONS)  LTD,GBP
4BAE021,BRITISH AEROSPACE DEFENCE,GBP
4BAG001,DEUTSCHE BA,GBP
4BAL001,THOMSONFLY LIMITED,GBP
4BAW001,BRITISH AIRWAYS,USD
4BAW002,BRITISH AIRWAYS,GBP
4BMW001,BMW ROLLS-ROYCE GmbH,GBP
4BQQ001,B'HAM CENTRE FOR MFG LTD,GBP
4BRQ001,BRITISH STANDARDS INST.,GBP
4BUQ001,BUCK & HICKMAN LTD,GBP
