CDSSYS,CDS_DLF,,EN
PART_NBR,PRICE,LEAD_TIME
STD949-77,3.35,1
STD949-76,6.05,2
STD949-75,7.35,3
STD949-74,9.95,4
STD949-68,50.56,5
STD949-38,16.3,6
STD920-10-10,0.16,7
STD901-4006,0.03,8
STD901-4005,0.04,9
STD900-66,28.22,10
STD900-53,0.12,11
STD900-11-1,0.12,12
STD893-52,1.33,13
STD893-5,0.96,14
STD893-3,1.77,15
STD893-20,2.03,16
STD893-2,1.66,17
STD893-17,4.96,18
STD893-10,0.67,19
STD858-4019,7.05,20
STD853-3,2.31,21
STD842-16,6.98,22
STD842-13,5.3,23
STD553-2,0.9,24
STD553-10,0.25,25
STD552-10,0.36,26
STD552-1,0.35,27
STD550-4302,1.11,28
STD520-3,14.74,29
STD513-3,70.3,30
STD502-5,1.97,31
STD433-2,1.66,32
STD333-427-6,1.61,33
STD333-427-5,1.6,34
STD333-427-3,10.39,35
STD333-427-1,1.57,36
STD288-9,1.82,37
STD288-29,4.74,38
STD288-25,7.59,39
STD1329-4001,10.97,40
STD1328-4001,12.82,41
STD1322-4002,8.25,42
STD1322-4001,14.98,43
STD1319-4003,13.18,44
STD1309-4003,1.37,45
STD1304-4005,0.28,46
STD1304-4002,0.04,47
STD1302-4005,0.5,48
STD1268-4007,20.33,49
STD1268-4005,20.33,50
STD1209-4005,44.14,51
STD1209-4002,23.64,52
STD1205-4002,1.05,53
STD1205-4001,1.05,54
STD1050-4083,1.76,55
STD1050-4079,6.9,56
STD1031-4918,2.34,57
STD1031-4914,1.96,58
STD1031-4908,1.99,59
STD1031-4907,1.88,60
STD1031-4905,0.92,61
STD1031-4141,7.2,62
STD1031-4124,1.76,63
STD1031-4121,1.29,64
STD1031-4120,1.38,65
STD1031-4118,2.27,66
STD1031-4112,1.76,67
STD1031-4013,1.14,68
STD1017-4918,3.88,69
STD1017-4914,3.38,70
STD1017-4909,5.08,71
STD1017-4908,1.71,72
STD1017-4905,1.1,73
STD1017-4146,3.68,74
STD1017-4121,1.53,75
STD1017-4118,1.51,76
STD1017-4117,3.51,77
STD1017-4113,0.98,78
STD1017-4112,1.02,79
STD1017-4111,4.2,80
STD1017-4025,2.93,81
STD1017-4013,2.97,82
NAS1805-3P,1,83
NA0069A050046,13.17,84
MS9967-241,6.76,85
MS9967-153,7.79,86
MS9967-146,5.19,87
MS9967-125,5.1,88
MS9967-122,1.98,89
MS9967-121,2.75,90
MS9967-120,2.71,91
MS9967-119,1.84,92
MS9967-118,1.84,93
MS9967-116,1.47,94
MS9967-115,1.59,95
MS9967-114,1.55,96
MS9967-113,1.41,97
MS9967-110,1.35,98
MS9967-108,0.78,99
MS9967-016,1.08,100
MS9967-015,1.67,101
MS9967-014,2.14,102
MS9967-013,0.82,103
MS9967-012,0.78,104
MS9967-011,1.22,105
MS9967-010,0.82,106
MS9967-009,0.92,107
MS9967-008,0.97,108
MS9966-04,0.73,109
MS9966-02,1.15,110
MS9557-14,0.82,111
MS9557-13,1.16,112
MS9557-11,0.87,113
MS9556-26,1.78,114
MS9556-25,1.3,115
MS9556-10,0.47,116
MS9556-09,0.47,117
MS9556-08,0.47,118
MS9556-07,1.22,119
MS9555-07,1.22,120
MS9549-10,0.03,121
MS9549-09,0.09,122
MS9549-08,0.15,123
