CDSSYS,CDS_PORC,,EN
PURCHASE_ORDER_NUMBER,DATE_OF_TYPE_TRANS,VENDOR_ID,PART_NUMBER
U00953,2001-05-09,7007509,86605094
U00953,2001-05-09,7007509,86605094
U00953,2001-05-09,7007509,86605094
U00953,2001-05-09,7007509,86605094
U00953,2001-05-09,7007509,86605094
U07840,2001-05-10,7003099,86628234
U07840,2001-05-10,7003099,86628234
U07840,2001-05-10,7003099,86628234
U07840,2001-05-10,7003099,86628234
U07840,2001-05-10,7003099,86628234
U07840,2001-05-10,7003099,86628234
U05150,2001-05-10,7006252,40-656-1642-11
U07733,2001-05-10,7006252,KDCC773
U05150,2001-05-10,7006252,40-656-1642-11
X18265,2001-05-10,7003099,86605282
U00195,2001-05-10,7003627,GTS2589-4
U00196,2001-05-10,7003627,GTS2589-4
U04571,2001-05-10,7006252,KDCC791
U04505,2001-05-10,7006252,KDCC774
U01410,2001-05-10,7009231,40-666-2622E
U04599,2001-05-10,7006252,KDCC797
U03270,2001-05-10,7003859,86626902
U03262,2001-05-10,7003859,86626902
U03085,2001-05-10,7009231,SD0060-400
U03262,2001-05-10,7003859,86626902
U06295,2001-05-10,7003627,GTS2591-2
U03263,2001-05-10,7003859,86626902
U03263,2001-05-10,7003859,86626902
U04519,2001-05-10,7006252,KDCC783
U04558,2001-05-10,7006252,KDCC788
U07382,2001-05-10,7003407,SQ0062-1
U01405,2001-05-10,7009231,40-666-2644E
U04183,2001-05-10,7003497,86621471
U02612,2001-05-10,7006252,TS0005-1
U02613,2001-05-10,7006252,TS0005-1
U04559,2001-05-10,7006252,KDCC788
U05292,2001-05-10,7006252,40-656-1614-11
U01405,2001-05-10,7009231,40-666-2644E
U01406,2001-05-10,7009231,40-666-2644E
U04559,2001-05-10,7006252,KDCC788
U04560,2001-05-10,7006252,KDCC788
U05292,2001-05-10,7006252,40-656-1614-11
U03082,2001-05-10,7009231,SD0054-600
U02662,2001-05-10,7003660,SR0083-90R9F
U02663,2001-05-10,7003660,SR0083-90R9F
U04566,2001-05-10,7006252,KDCC790
U03876,2001-05-10,7008683,SQ0083-1
U04523,2001-05-10,7006252,KDCC784
U04495,2001-05-10,7006252,KDCC778
U04630,2001-05-10,7006252,TD0001
U01894,2001-05-10,7003555,40-656-5115-44
U04579,2001-05-10,7006252,KDCC793
U04509,2001-05-10,7006252,KDCC780
U06336,2001-05-10,7003813,86628501
U06337,2001-05-10,7003813,86628501
U06338,2001-05-10,7003813,86628501
U06341,2001-05-10,7003813,86628501
U01900,2001-05-10,7003555,40-656-5144-44
U05436,2001-05-10,7006252,GTS2120-11
X15776,2001-05-10,7003172,MP0039-1
U03724,2001-05-10,7003637,GTS1919-4
U00065,2001-05-10,7003023,86603146
U04973,2001-05-10,7006252,86600190
U00066,2001-05-10,7003023,86603146
X18243,2001-05-10,7DSE110,SQ0097-1
U01167,2001-05-10,7003023,KDCC125
U03725,2001-05-10,7003637,GTS1919-4
U01167,2001-05-10,7003023,KDCC125
U04514,2001-05-10,7006252,KDCC782
U00948,2001-05-10,7007509,86605004
U04549,2001-05-10,7006252,KDCC786
U02912,2001-05-10,7003733,KDCC131
U02076,2001-05-10,7008683,40-666-6473
U04594,2001-05-10,7006252,KDCC796
U03713,2001-05-10,7003306,86626931
U02235,2001-05-10,7003660,GTS1710-87K
U00518,2001-05-10,7003576,86621106
U02236,2001-05-10,7003660,GTS1710-87K
U00270,2001-05-10,7003576,86622653
U04594,2001-05-10,7006252,KDCC796
U02052,2001-05-10,7THO112,SI0001-20MHZ
U04544,2001-05-10,7006252,KDCC777
U04549,2001-05-10,7006252,KDCC786
U02053,2001-05-10,7THO112,SI0001-20MHZ
U04549,2001-05-10,7006252,KDCC786
U04589,2001-05-10,7006252,KDCC795
X11483,2001-05-10,7003337,77855612
U04534,2001-05-10,7006252,KDCC775
X14806,2001-05-10,7004126,77855703
U02934,2001-05-10,7003842,KDCC801
U02918,2001-05-10,7003842,KDCC798
U02918,2001-05-10,7003842,KDCC798
U05554,2001-05-10,7003497,86627427
U04528,2001-05-10,7006252,KDCC785
U04529,2001-05-10,7006252,KDCC785
U05744,2001-05-10,7006252,GTS1500-273
U03699,2001-05-10,7003637,GTS1914-6
U03699,2001-05-10,7003637,GTS1914-6
U03700,2001-05-10,7003637,GTS1914-6
U01110,2001-05-10,7003504,GTS2566-6
