CDSSYS,CDS_PORD,,EN
RECD_CODE,PURCHASE_ORDER_NBR,VENDOR_ID,PART_NBR,DATE_CLOSED,DATE_DUE_AT_DOCK_REV,DATE_LAST_RECEIVED,QTY_RECEIVED_TOTAL,LINE_ITEM_UNIT_PRICE
HD,X00196,7003842,,,,,,
HD,X00197,7003842,,,,,,
HD,X00198,7003842,,,,,,
HD,X00199,7003842,,,,,,
HD,X00204,7003842,,,,,,
HD,X00205,7003842,,,,,,
HD,X00215,7003842,,,,,,
HD,X00221,7003842,,,,,,
HD,X00252,7003842,,,,,,
HD,X00253,7003842,,,,,,
HD,X00254,7003842,,,,,,
HD,X00255,7003842,,,,,,
HD,X00256,7003842,,,,,,
HD,X00257,7003842,,,,,,
HD,X02920,7003407,,,,,,
HD,X02950,7009231,,,,,,
HD,X03018,7003018,,,,,,
HD,X03066,7003497,,,,,,
HD,X03086,7003497,,,,,,
HD,X03135,7003497,,,,,,
HD,X03367,7008395,,,,,,
HD,X03381,7008395,,,,,,
HD,X03675,7003576,,,,,,
HD,X03710,7003182,,,,,,
HD,X03850,7003202,,,,,,
HD,X04089,7003557,,,,,,
HD,X04098,7003557,,,,,,
HD,X04400,7DUP110,,,,,,
HD,X04406,7DUP110,,,,,,
HD,X04412,7DUP110,,,,,,
HD,X04415,7DUP110,,,,,,
HD,X04608,7006252,,,,,,
HD,X04808,7003842,,,,,,
HD,X04898,7003407,,,,,,
HD,X05327,7003308,,,,,,
HD,X05328,7003308,,,,,,
HD,X05336,7003019,,,,,,
HD,X05337,7003019,,,,,,
HD,X05338,7003337,,,,,,
HD,X05381,7004263,,,,,,
HD,X05384,7DEG110,,,,,,
HD,X05388,7001369,,,,,,
HD,X05473,7008395,,,,,,
HD,X05474,7008395,,,,,,
HD,X05476,7008395,,,,,,
HD,X05478,7008395,,,,,,
HD,X05521,7006252,,,,,,
HD,X05902,7003859,,,,,,
HD,X06138,7TYC111,,,,,,
HD,X06383,7009231,,,,,,
PT,X00196,,KDCA547,2001-06-12,2001-06-05,2000-12-31,0,32.98
PT,X00197,,KDCA548,2001-06-12,2001-06-05,2000-12-31,0,32.78
PT,X00198,,KDCA727,2001-06-14,2001-12-28,2000-12-31,0,32.82
PT,X00199,,KDCA728,2001-06-14,2001-06-05,2000-12-31,0,32.82
PT,X00204,,KDC1776,2001-06-12,2001-06-05,2000-12-31,0,24.2
PT,X00205,,KDC1832,2001-06-12,2001-06-05,2000-12-31,0,19.84
PT,X00215,,KDC2334,2001-06-12,2001-06-05,2000-12-31,0,10.59
PT,X00221,,KDCA723,2000-12-31,2001-10-11,2000-12-31,0,112.64
PT,X00252,,KDCA383,2001-06-12,2001-06-05,2000-12-31,0,312.66
PT,X00253,,KDCA535,2001-07-03,2001-06-27,2000-12-31,0,147
PT,X00254,,KDCA518,2001-05-30,2001-05-03,2001-05-30,21,9.2
PT,X00255,,KDCA607,2001-06-12,2001-06-05,2000-12-31,0,39.85
PT,X00256,,KDCA661,2001-06-12,2001-06-05,2000-12-31,0,793.95
PT,X00256,,KDCA661,2001-06-12,2001-06-05,2000-12-31,0,793.95
PT,X00257,,KDCA699,2001-06-12,2001-06-05,2000-12-31,0,222.62
PT,X02920,,GTS1509,2001-07-08,2001-09-10,2001-07-08,1,30.5
PT,X02950,,86600194,2001-08-07,2001-08-02,2001-08-07,65,59.73
