CDSSYS,CDS_VIDT,,EN
VENDOR_ID,PART_NBR,EFFECTIVE_DATE_BEG,EFFECTIVE_DATE_END,CODE_PREFERRED_VENDOR
7006252,AED003836-1,2003-11-10,1949-01-01,N
7001170,A206A13,2000-01-01,1949-01-01,N
7BAL111,77879247,2000-01-01,1949-01-01,Y
7006252,BCP1905-1,2000-01-01,2010-09-21,Y
7006252,CC0093-0075,2000-01-01,2003-02-07,N
7003637,CD0004,2000-01-01,2007-12-03,N
7003159,CE0006-28V,2000-01-01,2009-05-06,N
7003110,CF0010-0001,2000-01-01,1949-01-01,Y
7003110,CF0011-0011,2000-01-01,1949-01-01,Y
7003660,CF0013-684,2000-01-01,2002-06-01,N
LAEGB15,CF0016-1,2000-01-01,2001-01-01,N
LAEGB15,CF0017-1,2000-01-01,2001-01-01,N
LAEGB15,CF0018-1,2000-01-01,2001-01-01,N
7006252,CI0046-01T,2005-03-29,2009-12-02,N
7006252,CI0046-03T,2000-01-01,2002-04-12,N
7008683,CI0046-07T,2000-01-01,1949-01-01,Y
7PYL110,CJ0028-1,2000-01-01,1949-01-01,N
7008683,CQ0031-1,2000-01-01,1949-01-01,Y
7008683,CQ0033-1,2000-01-01,1949-01-01,Y
7008683,CQ0034-1,2000-01-01,1949-01-01,Y
7004236,77751395,2000-01-01,1949-01-01,N
7006252,CQ0099-1,2000-01-01,1949-01-01,Y
7003660,CX06F336M,2000-01-01,2005-11-22,N
7003660,CX06M685M,2000-01-01,1949-01-01,N
7008683,GTSA1540,2000-01-01,1949-01-01,Y
7003407,GTSA1563-1,2000-01-01,2005-10-31,N
7VIS112,GTSA2280-A1001F,2000-01-01,2002-06-26,N
7VIS112,GTSA2280-A1002F,2000-01-01,2002-06-26,N
7VIS112,GTSA2280-A2002F,2000-01-01,2002-06-26,N
7VIS112,GTSA2280-A39R0F,2000-01-01,2002-06-26,N
7VIS112,GTSA2280-A5002F,2000-01-01,2002-06-26,N
7VIS112,GTSA2280-B1001G,2000-01-01,2002-06-26,N
7VIS112,GTSA2280-B2003J,2000-01-01,2002-06-26,N
7VIS112,GTSA2280-B3302J,2000-01-01,2002-06-26,N
7VIS112,GTSA2280-B7502F,2000-01-01,2002-06-26,N
7ELT110,GTS1009,2000-01-01,2005-11-01,N
7AMB111,GTS1013,2000-01-01,2008-07-22,N
7003557,GTS1016-02,2000-01-01,2004-12-31,N
7ELT110,GTS1016-08,2000-01-01,2007-01-25,N
7003557,GTS1016-11,2000-01-01,1949-01-01,Y
7003557,GTS1016-244,2003-05-23,1949-01-01,Y
7003557,GTS1016-393,2000-01-01,1949-01-01,Y
7003557,GTS1016-4040,2000-01-01,2009-08-17,N
7003557,GTS1016-74,2000-01-01,1949-01-01,Y
7003557,GTS1024-536,2000-01-01,1949-01-01,Y
7003557,GTS1025,2000-01-01,1949-01-01,Y
7003557,GTS1030-1,2000-01-01,2010-09-30,N
7003557,GTS1031-1,2000-01-01,1949-01-01,Y
7003557,GTS1032-1,2003-05-23,1949-01-01,Y
7003557,GTS1033-1,2003-05-23,1949-01-01,Y
7003557,GTS1034-1,2003-05-23,1949-01-01,Y
7ELT110,GTS1037-1,2000-01-01,2001-10-02,Y
7003557,GTS1039-1,2000-01-01,1949-01-01,Y
7003557,GTS1042-1,2000-01-01,1949-01-01,Y
7ELT110,GTS1044-1,2000-01-01,2008-05-21,Y
7003557,GTS1048-1,2003-05-23,2008-06-23,N
7003557,GTS1052-2,2003-05-23,2008-06-23,N
7ELT110,GTS1055-1,2000-01-01,2008-05-21,Y
7003557,GTS1108,2000-01-01,1949-01-01,Y
7003557,GTS1110,2003-05-23,2010-09-15,N
7003557,GTS1111-C15,2000-01-01,1949-01-01,Y
7003557,GTS1111-C18,2000-01-01,1949-01-01,Y
7003557,GTS1111-3V3,2000-01-01,1949-01-01,Y
7003557,GTS1111-6V8,2000-01-01,1949-01-01,Y
7ELT110,GTS1113-470,2000-01-01,1949-01-01,N
7003557,GTS1115-1,2000-01-01,2008-06-24,N
7003637,GTS1118-2,2000-01-01,1949-01-01,N
7003637,GTS1118-3,2000-01-01,2007-11-28,Y
7003637,GTS1118-4,2000-01-01,2007-11-28,Y
7003637,GTS1119-6,2000-01-01,2005-08-31,N
7003557,GTS1120-2,2003-05-23,1949-01-01,Y
7003557,GTS1124-1D,2003-05-23,2010-09-30,N
7003637,GTS1127-11,2003-02-06,2007-11-21,Y
7003637,GTS1128-1,2003-02-26,2007-11-21,Y
7003637,GTS1128-16,2003-02-26,2007-11-23,Y
7003637,GTS1128-30,2003-02-26,2007-11-26,N
7003637,GTS1128-35,2003-02-19,2007-11-26,Y
7003637,GTS1128-6,2003-02-27,2007-11-23,Y
7003637,GTS1129-1,2003-02-19,2007-11-21,Y
7BAL111,77874585,2000-01-01,2014-05-13,N
7003637,GTS1130-5,2003-02-06,2007-11-21,Y
7003637,GTS1130-6,2003-02-06,2007-11-21,Y
7003637,GTS1130-7,2003-02-06,2007-11-26,Y
7003637,GTS1130-8,2003-02-06,2007-11-26,Y
7003637,GTS1131-4,2003-02-06,2007-11-21,Y
7003637,GTS1131-5,2003-02-06,2007-11-21,Y
7003637,GTS1131-6,2003-02-06,2007-11-21,Y
7003637,GTS1131-7,2000-01-01,2007-11-27,Y
7003637,GTS1131-8,2000-01-01,2007-11-27,Y
7003299,GTS1968-3,2003-02-07,2005-05-03,N
7003557,GTS1133-1,2000-01-01,1949-01-01,Y
7003557,GTS1137-1,2000-01-01,1949-01-01,Y
7003557,GTS1138-1,2003-05-23,1949-01-01,Y
7ELT110,GTS1142-13,2000-01-01,2007-02-01,Y
7003637,GTS1143-11,2000-01-01,2007-11-28,Y
7003637,GTS1143-13,2000-01-01,2007-11-28,Y
7003637,GTS1143-14,2000-01-01,2007-11-28,Y
7003637,GTS1143-17,2000-01-01,2007-11-21,Y
7003637,GTS1143-18,2003-02-27,2007-11-21,Y
7003637,GTS1143-20,2000-01-01,2007-11-27,Y
